date,long_deal_amount_外資,long_deal_amount_投信,long_deal_amount_自營商,long_deal_volume_外資,long_deal_volume_投信,long_deal_volume_自營商,long_open_interest_balance_amount_外資,long_open_interest_balance_amount_投信,long_open_interest_balance_amount_自營商,long_open_interest_balance_volume_外資,long_open_interest_balance_volume_投信,long_open_interest_balance_volume_自營商,short_deal_amount_外資,short_deal_amount_投信,short_deal_amount_自營商,short_deal_volume_外資,short_deal_volume_投信,short_deal_volume_自營商,short_open_interest_balance_amount_外資,short_open_interest_balance_amount_投信,short_open_interest_balance_amount_自營商,short_open_interest_balance_volume_外資,short_open_interest_balance_volume_投信,short_open_interest_balance_volume_自營商
2018-07-04,114000223,252213,38182916,53716,119,18007,135279507,4490083,17129149,63741,2115,8150,116715591,33938,37531966,54994,16,17701,76557453,57959602,20758785,36087,27296,9880
2018-07-05,147199877,136807,43492852,69687,65,20609,130536598,4465910,19908296,62189,2127,9559,159860379,1341750,44514356,75670,638,21115,85022162,58554964,24666825,40518,27881,11864
2018-07-06,196883122,313742,54258656,93755,149,25867,136807007,4717506,19914554,64948,2239,9530,190229170,153955,52784489,90584,74,25164,84429316,58837997,23191505,40095,27918,11124
2018-07-09,144790244,2744407,37148143,68172,1288,17505,147415779,5134625,16894425,69185,2409,8011,133050198,149172,40351696,62625,70,19004,82587172,57295578,23165000,38776,26870,10974
2018-07-10,104593001,602290,30738439,48861,283,14371,144458692,5468430,18023402,67512,2556,8506,99909884,109208,29879454,46667,51,13973,74635475,57361395,23460769,34896,26785,11071
2018-07-11,141295314,373305,50571663,66551,177,23844,138933923,5560100,18442147,65511,2623,8773,147383010,1141848,49072575,69432,538,23140,75829014,57766421,22190073,35776,27213,10573
2018-07-12,138018031,2864630,40086953,64639,1338,18791,154172982,5724303,19507743,71878,2673,9176,126929315,782324,43616415,59428,365,20427,79173035,56458531,26736944,36926,26290,12573
2018-07-13,129958756,11243097,39470541,60248,5195,18294,157247119,5954728,23856538,72660,2757,11093,130606617,9633714,38107007,60474,4496,17676,82122048,55598138,30766526,37924,25675,14324
2018-07-16,188806818,29098087,42951244,87409,13431,19845,155889227,5974418,25172985,72512,2782,11730,188437723,28789788,42614913,87081,13420,19722,80604742,55169566,32164845,37448,25689,15035
2018-07-17,216522452,19978382,46343043,100738,9263,21542,173538214,5938119,19345945,81227,2783,9066,220657534,20910753,51761056,102597,9781,24050,102666942,55879476,31230791,48022,26208,14649
2018-07-18,138001750,1397098,64292033,64149,648,29809,148002663,6024508,11405439,69067,2811,5355,120749795,1238416,71923240,56105,576,33343,68626189,56074505,27637567,32028,26164,12929
2018-07-19,121522726,174220,35350900,56502,81,16449,152205784,6123240,12110967,71002,2856,5680,117439099,146110,34498762,54606,68,16053,68740141,56164008,27523458,32068,26196,12870
2018-07-20,187457443,1441477,53028598,86844,666,24571,169226429,5693400,12939230,78185,2630,6010,175562646,735665,53495104,81341,340,24782,73011277,55513867,28939126,33733,25644,13400
2018-07-23,127316881,110461,39617612,58790,51,18299,166349368,5542259,14414565,76820,2559,6688,126984620,1986068,36493651,58642,917,16856,69768700,57261290,27312839,32220,26439,12642
2018-07-24,95403306,163028,29972068,44008,75,13822,161133016,5620283,17971225,74125,2585,8300,100917955,82538,26313643,46552,38,12135,69710538,57459454,27220454,32069,26428,12552
2018-07-25,94924076,73994,26754982,43645,34,12305,163833515,5564517,16264119,75416,2561,7519,89009347,95631,28342509,40926,44,13034,66562676,57392035,27089734,30641,26414,12500
2018-07-26,105917539,157138,26773284,48596,72,12286,167104120,5587942,18217592,76570,2560,8384,101301372,119929,26636187,46476,55,12222,64758948,57616854,28976828,29675,26396,13309
2018-07-27,101473136,876822,27455596,46306,399,12531,180730306,5803223,20342742,82234,2640,9297,89006577,96719,31292139,40617,44,14271,65156634,57418863,35010206,29648,26121,15962
2018-07-30,113013996,52514,32325314,51466,24,14730,177321914,5738574,16301828,81067,2623,7493,114308952,113830,33524767,52057,52,15276,63585683,57171263,32264131,29071,26132,14784
2018-07-31,94975377,166807,33612281,43330,76,15334,180403309,5694993,17046296,82093,2591,7798,91004714,236705,34243474,41515,108,15620,62145813,57437817,33692902,28281,26132,15365
2018-08-01,87433754,207576,28735516,39636,94,13030,183543094,5831204,21404279,83114,2640,9739,85453783,52930,28952731,38741,24,13124,62725826,57673627,38350976,28407,26111,17401
2018-08-02,130973206,39261,47327199,59812,18,21628,178211566,5590357,20110221,81977,2571,9296,137975645,1780249,45824078,62980,818,20944,60991491,58364918,35285468,28059,26842,16271
2018-08-03,108802722,2038206,29154714,49704,929,13324,183652337,5658946,19552543,83749,2580,8965,100256498,57009,30254028,45796,26,13821,56834255,56914016,35942544,25921,25948,16429
2018-08-06,120342100,166975,38984759,54725,76,17735,178598548,5757887,20009554,81350,2622,9162,123355514,63644,37319478,56100,29,16974,54647004,56970516,34748402,24895,25943,15866
2018-08-07,93556639,0,29962561,42611,0,13652,181121153,5655077,18759139,82590,2578,8602,92989003,563681,31491129,42354,257,14347,56739421,57375498,35017753,25878,26156,16006
2018-08-08,95335902,601508,37707714,43178,273,17081,190196325,5815718,22093726,86111,2633,10054,88254512,404536,39625487,39967,183,17944,57832571,57711426,40385712,26188,26121,18321
2018-08-09,93785621,2556659,36739698,42567,1164,16685,184985961,5869138,18237944,83980,2668,8322,97353297,3488007,33396123,44188,1583,15168,56551107,58555074,33150371,25678,26575,15084
2018-08-10,111975658,8447475,36688524,50962,3845,16700,179286788,5758390,17157287,81829,2632,7868,117422834,9114249,35717373,53430,4160,16261,56943250,58842872,30932301,25992,26854,14152
2018-08-13,258224664,28907263,81712671,119555,13419,37812,167704101,5449668,16124439,78052,2538,7528,281558142,30058152,83040964,130287,13989,38423,70781538,58702435,30324481,32944,27330,14142
2018-08-14,224880664,22216499,57939923,104290,10289,26864,165407009,5369105,15852077,76622,2488,7363,224489311,21019490,57259346,104069,9754,26553,69286880,57709188,29366411,32089,26745,13626
2018-08-15,144271180,1833432,76620085,67227,854,35668,137904938,5262611,12988290,64574,2464,6103,153191188,2549909,80116513,71350,1192,37319,64485649,57792444,24002064,30193,27059,11264
2018-08-16,163339655,76857,35925450,76637,36,16849,137856270,5290065,13643096,64503,2475,6404,158647822,166375,41020873,74421,78,19246,62214816,57949045,29909251,29108,27112,14019
2018-08-17,106612957,140726,35226862,49826,66,16467,135881005,5371012,16722901,63734,2519,7865,113494504,57597,32229391,53025,27,15072,67266040,57818699,29972819,31548,27117,14085
